# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-14-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-14
# Latitude:       18.15.12N	( 18.25333)
# Longitude:      57.39.18E	( 57.655)
# Water Depth(m): 596
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#
# CORE: RC27-14
depth	yrBP 	d15N	
0.5	4110	7.62	
2.5	4281	7.41	
4.5	4452	7.56	
6.5	4622	7.61	
8.5	4793	7.56	
10.5	4964	7.22	
12.5	5135	7.45	
14.5	5306	7.43	
16.5	5477	7.22	
18.5	5648	7.19	
20.5	5819	7.02	
22.5	5976	6.91	
24.5	6092	7.04	
26.5	6209	7.11	
28.5	6325	7.06	
30.5	6441	7.03	
32.5	6557	7.15	
34.5	6673	7.3	
36.5	6790	6.93	
38.5	6906	6.86	
40.5	7022	6.98	
42.5	7138	7.05	
44.5	7255	7.15	
46.5	7371	7.08	
48.5	7497	7.11	
50.5	7655	7.09	
52.5	7813	7.06	
54.5	7970	7.13	
56.5	8128	6.95	
58.5	8286	7.35	
60.5	8444	7.53	
62.5	8601	7.18	
64.5	8759	7.36	
66.5	8917	7.4	
68.5	9074	7.46	
70.5	9232	7.44	
72.5	9390	7.72	
74.5	9547	7.71	
76.5	9705	7.61	
78.5	9842	7.74	
80.5	9980	7.91	
82.5	10117	7.98	
84.5	10255	8.1	
86.5	10392	8.13	
88.5	10529	8.1	
90.5	10667	7.93	
92.5	10804	8.16	
94.5	10941	8.13	
96.5	11079	7.91	
98.5	11216	7.92	
100.5	11354	7.77	
102.5	11491	8.2	
104.5	11628	7.8	
106.5	11766	7.15	
108.5	11903	7.62	
110.5	12040	7.29	
112.5	12178	7.19	
114.5	12315	7.21	
116.5	12453	6.9	
