# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-23
# Latitude:       17.59.36N	( 17.99333)
# Longitude:      57.35.24E	( 57.59)
# Water Depth(m): 820
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#             N%            Nitrogen percent
#             chlor         Chlorins (µg/g)
#
# CORE: RC27-23
depth	yrBP 	d15N	N%	chlor	
1.5	130	7.7	0.74	-999	
2.5	207	7.7	0.73	-999	
3.5	284	7.79	0.73	-999	
4.5	361	7.74	0.71	-999	
5.5	439	7.53	0.73	-999	
6.5	516	7.6	0.69	-999	
8.5	670	7.67	0.68	-999	
9.5	747	7.5	0.7	-999	
10.5	824	7.59	0.68	-999	
11.5	902	7.64	0.69	-999	
12.5	979	7.51	0.66	-999	
13.5	1056	-999	-999	5.736	
14.5	1133	7.46	0.66	-999	
15.5	1210	7.59	0.65	-999	
16.5	1288	7.54	0.64	5.626	
17.5	1365	7.63	0.64	-999	
18.5	1442	7.7	0.65	6.071	
20.5	1596	7.66	0.6	5.777	
22.5	1751	7.66	0.68	-999	
24.5	1905	7.75	0.64	-999	
25.5	1982	-999	-999	5.721	
26.5	2059	7.67	0.63	-999	
27.5	2137	7.79	0.63	5.253	
28.5	2214	7.61	0.63	-999	
29.5	2291	-999	-999	5.444	
30.5	2368	7.84	0.66	-999	
31.5	2445	7.58	0.64	5.246	
32.5	2523	7.58	0.62	-999	
33.5	2600	7.45	0.58	5.433	
34.5	2677	7.4	0.59	-999	
35.5	2754	-999	-999	5.569	
36.5	2831	7.55	0.57	-999	
37.5	2909	7.37	0.56	4.847	
38.5	2986	7.46	0.55	-999	
39.5	3063	7.38	0.56	5.052	
40.5	3140	7.4	0.59	-999	
41.5	3217	7.26	0.6	5.094	
42.5	3295	7.17	0.45	-999	
43.5	3372	-999	-999	4.635	
44.5	3449	7.25	0.48	-999	
45.5	3526	-999	-999	4.765	
46.5	3603	7.25	0.49	-999	
48.5	3758	7.18	0.47	4.435	
49.5	3835	7.36	0.47	-999	
50.5	3912	7.15	0.49	3.785	
52.5	4067	7.29	0.49	4.137	
54.5	4221	7.05	0.51	3.684	
56.5	4375	7.19	0.48	3.724	
57.5	4453	7.22	0.42	-999	
58.5	4530	7.21	0.44	4.465	
59.5	4607	7.02	0.43	-999	
60.5	4684	7.21	0.43	3.822	
62.5	4842	7.26	0.29	3.421	
64.5	5009	6.89	0.43	3.655	
66.5	5177	7.2	0.37	3.681	
68.5	5344	7.09	0.35	-999	
70.5	5512	7.09	0.35	3.399	
72.5	5680	6.76	0.33	3.644	
74.5	5847	6.77	0.31	3.593	
76.5	6015	6.89	0.3	3.601	
78.5	6182	6.84	0.28	3.49	
80.5	6350	6.78	0.29	3.262	
82.5	6517	6.58	0.3	3.185	
84.5	6685	6.71	0.32	3.361	
86.5	6852	6.89	0.27	3.034	
