/* DATA DESCRIPTION:
Citation:	Huguet, Carme; Kim, Jung-Hyun; Sinninghe Damsté, Jaap S; Schouten, Stefan (2006): Sea surface temperature reconstruction for sediment core NIOP-C2_905_PC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.861245
Related to:	Ho, Sze Ling; Laepple, Thomas (2016): Flat meridional temperature gradient in the early Eocene in the subsurface rather than surface ocean. Nature Geoscience, https://doi.org/10.1038/ngeo2763
	Huguet, Carme; Kim, Jung-Hyun; Sinninghe Damsté, Jaap S; Schouten, Stefan (2006): Reconstruction of sea surface temperature variations in the Arabian Sea over the last 23 kyr using organic proxies (TEX86 and UK'37). Paleoceanography, 21(3), PA3003, https://doi.org/10.1029/2005PA001215
Coverage:	LATITUDE: 10.766660 * LONGITUDE: 51.950000
	DATE/TIME START: 1993-02-13T00:00:00 * DATE/TIME END: 1993-02-13T00:00:00
	MINIMUM ELEVATION: -1575.0 m * MAXIMUM ELEVATION: -1575.0 m
Event(s):	NIOP-C2_905_PC * LATITUDE: 10.766660 * LONGITUDE: 51.950000 * DATE/TIME: 1993-02-13T00:00:00 * ELEVATION: -1575.0 m * CAMPAIGN: NIOP-C2 * BASIS: Tyro * METHOD/DEVICE: Piston corer (PC)
Comment:	Dataset was corrected on 2018-05-29, columns for TEX86- and UK'37-temperatures were switched in the old version.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Huguet, Carme (https://orcid.org/0000-0001-8025-2010)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Huguet, Carme (https://orcid.org/0000-0001-8025-2010) * METHOD/DEVICE: Calculated from UK'37 (Müller et al, 1998) (URI: https://doi.org/10.1016/S0016-7037(98)00097-0)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Huguet, Carme (https://orcid.org/0000-0001-8025-2010) * METHOD/DEVICE: Calculated according to Schouten et al. (2002) (URI: https://doi.org/10.1016/s0012-821x(02)00979-2)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	219 data points
*/
Age [ka BP]	SST (1-12) [°C] (Calculated from UK'37 (Müller...)	SST (1-12) [°C] (Calculated according to Schou...)
0.019	26.30	25.71
0.208	26.33	26.24
0.397	26.33	25.79
0.586	26.49	26.09
0.782	26.42	26.42
1.052	26.55	26.41
1.321	26.14	25.77
1.590	26.16	26.08
1.857	26.27	26.39
2.105	25.97	26.48
2.352	25.88	26.02
2.599	25.97	26.60
2.846	25.74	26.59
3.094	26.35	27.14
3.341	25.99	26.64
3.588	25.96	26.94
3.833	25.64	26.49
4.055	25.51	25.79
4.276	25.69	27.32
4.497	25.75	30.04
4.719	25.73	26.73
4.940	25.92	26.96
5.162	25.84	26.61
5.383	26.03	26.77
5.597	25.59	27.17
5.743	25.90	26.93
5.888	25.70	26.39
6.034	25.92	26.81
6.179	25.68	26.60
6.325	26.05	27.36
6.470	26.06	27.13
6.616	26.11	26.30
6.761	25.81	26.76
6.907	25.76	26.25
7.058	26.08	27.32
7.211	25.74	26.67
7.365	25.78	26.32
7.509	25.61	26.57
7.641	26.01	26.46
7.773	25.91	26.51
7.903	25.54	26.65
8.018	25.49	27.00
8.132	25.80	26.72
8.247	26.08	26.97
8.362	25.94	26.45
8.477	26.02	27.92
8.591	26.19	26.69
8.706	25.82	26.74
8.821	25.85	26.55
8.936	26.22	26.90
9.053	26.16	26.03
9.222	25.64	27.30
9.391	26.00	28.56
9.560	25.92	28.20
9.729	26.02	27.28
9.898	25.93	27.60
10.067	25.71	27.96
10.236	25.62	27.32
10.405	25.59	27.57
10.572	25.42	30.98
10.738	25.56	31.36
10.905	25.58	28.20
11.072	25.98	27.77
11.207	26.11	28.44
11.309	26.06	28.65
11.623	26.11	30.76
11.937	26.23	32.29
12.251	25.99	30.58
12.551	26.00	29.33
12.734	25.85	29.36
12.917	25.86	28.17
13.100	25.82	26.98
13.304	25.71	26.65
13.591	25.77	26.22
13.858	25.72	25.39
14.125	25.73	27.50
14.651	25.90	27.08
15.221	25.87	28.42
15.792	26.13	29.16
15.936	25.69	29.84
16.021	25.93	28.46
16.088	25.74	28.64
16.201	25.90	27.56
16.346	25.58	28.38
16.491	25.85	28.35
16.636	25.60	26.51
16.781	25.64	27.99
17.005	25.67	26.22
17.263	25.66	25.56
17.521	25.53	24.89
17.779	25.59	24.20
18.037	25.87	22.86
18.295	25.15	23.47
18.553	25.55	22.96
18.811	25.16	24.43
19.069	25.45	22.76
19.326	25.03	22.79
19.584	25.43	22.53
19.842	25.32	22.41
20.100	25.42	22.36
20.358	25.35	22.85
20.616	25.55	22.47
20.874	25.24	22.78
21.132	25.58	22.51
21.390	25.41	23.36
21.648	25.77	22.80
21.906	25.09	22.59
22.164	25.49	22.47
22.422	25.39	
22.680	25.77	
22.938	25.52	
