sampleID,core_name,core_type,sample_depth_start,sample_depth_end,Latitude,Longitude,modernWaterDepth,TEX86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BIT,publicationYear,reference_name,remark,reference_link,RI_zhang16,RI_zhang16_revised,RI_0to5,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,QC_flag,cline_calculation_method_temperature,thermocline_depth,thermocline_T,thermocline_T_depthIntegral,thermocline_T_weightedIntegral,SST,cline_calculation_method_nitrate,SSN,thermocline_nitrate,thermocline_nitrate_depthIntegral,thermocline_nitrate_weightedIntegral,region_ID,regionName
TEXAS_PSM_RR00002,KNR195-5 MC11,MC,6.0,8.0,-1.5327,-86.7852,2288.0,0.602872857,0.330589243,0.067609609,0.064170863,0.004866793,0.499163998,0.033599494,0.026816557,This Study,this study,,,2.341605682,2.8743691740000004,2.8743691740000004,13.185451487252486,0.20413066801076218,0.330589243,include,grad_cal,30.0,20.449209213256836,22.762649536132812,18.768986634044083,23.59149932861328,grad_cal,3.9475114345550537,9.918057441711426,5.801960468292236,9.901018715722802,10.0,East Equatorial Pacific
TEXAS_PSM_RR00005,KNR195-5 MC18,MC,4.0,6.0,-3.969,-81.31,1024.0,0.599446802,0.282415155,0.062783799,0.052368999,0.010725396,0.560842121,0.03086453,0.033433999,This Study,this study,,,2.5665245889999997,3.1582312399999997,3.1582312399999997,4.882710064971028,0.17541924815873167,0.282415155,include,grad_cal,15.0,20.246809005737305,21.460620880126953,18.921852559657935,21.894609451293945,grad_cal,4.909499168395996,6.9404072761535645,5.328930377960205,8.796505799189983,10.0,East Equatorial Pacific
TEXAS_PSM_RR00007,KNR195-5 MC25,MC,5.0,7.0,-3.583,-81.165,381.0,0.617191577,0.292011378,0.064581435,0.060659525,0.013756194,0.539284302,0.029707167,0.029310252,This Study,this study,,,2.503134943,3.0721264120000003,3.0721264120000003,4.409615406703336,0.19632681865849702,0.292011378,include,grad_cal,20.0,20.12049102783203,22.01034927368164,18.73973728096213,22.924890518188477,grad_cal,3.034243583679199,6.527040958404541,3.894775629043579,8.562724591766388,10.0,East Equatorial Pacific
TEXAS_PSM_RR00008,KNR195-5 MC33,MC,3.0,5.0,-3.2237,-82.9142,2949.0,0.605147278,0.30927021,0.069123602,0.059718388,0.00869436,0.515668055,0.037525385,0.035502457,This Study,this study,,,2.427417218,2.980610658,2.980610658,6.868635299205462,0.19911744359541814,0.30927021,include,grad_cal,35.0,18.52968978881836,20.722990036010742,17.451632463198518,21.708290100097656,grad_cal,4.4319562911987305,11.071325302124023,6.5326433181762695,11.234854003809282,10.0,East Equatorial Pacific
TEXAS_PSM_RR00009,KNR195-5 MC34,MC,4.0,6.0,-3.5975,-83.9632,3224.0,0.588670023,0.344232594,0.076125124,0.068809566,0.008161829,0.470696713,0.031974174,0.032599689,This Study,this study,,,2.248913291,2.751584178,2.751584178,8.430655187703637,0.23346161702949902,0.344232594,include,grad_cal,35.0,19.300899505615234,21.486419677734375,17.775584241686825,22.364599227905273,grad_cal,5.033405780792236,10.522696495056152,6.5873332023620605,11.098841991658585,10.0,East Equatorial Pacific
TEXAS_PSM_RR00011,KNR195-5 MC4,MC,4.0,6.0,-0.216,-89.504,1612.0,0.623206848,0.328431624,0.069246957,0.07035175,0.007158687,0.487788611,0.037022371,0.188620497,This Study,this study,,,2.330670446,2.855481428,2.855481428,9.82746556735893,0.21852934004146735,0.328431624,include,grad_cal,25.0,21.625289916992188,23.783859252929688,19.315681858803018,24.308210372924805,grad_cal,3.440845012664795,7.812138080596924,4.557453632354736,8.295553158147483,10.0,East Equatorial Pacific
TEXAS_PSM_RR00012,KNR195-5 MC42,MC,3.0,5.0,-1.253,-89.6855,615.0,0.630416208,0.297720977,0.073346752,0.072606442,0.010907081,0.503821316,0.041597433,0.032614874,This Study,this study,,,2.4329558749999998,2.9783746239999997,2.9783746239999997,6.656816979721705,0.2233589067014481,0.297720977,include,grad_cal,30.0,19.92551040649414,22.42249298095703,18.479060462383046,23.38549041748047,grad_cal,3.868466854095459,10.452757835388184,5.845405578613281,9.696065745384013,10.0,East Equatorial Pacific
TEXAS_PSM_RR00013,KNR195-5 MC9,MC,5.0,7.0,-0.826,-87.9082,1563.0,0.613468173,0.313385037,0.07307093,0.071792069,0.006095506,0.497572497,0.038083961,0.032469552,This Study,this study,,,2.377567418,2.913223876,2.913223876,11.77786864617966,0.21985903764814982,0.313385037,include,grad_cal,30.0,20.08500862121582,22.7861328125,18.578255092812245,23.64090919494629,grad_cal,3.659705638885498,9.919695854187012,5.488675117492676,9.55328544773604,10.0,East Equatorial Pacific
TEXAS_PSM_RR00014,64PE304-56,PC,0.0,1.0,-16.85,41.32,2652.0,0.686,0.256685729,0.068813559,0.08937023,0.012122106,0.523951803,0.049056574,0.1251,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.575953845,3.148962222,3.148962222,7.372500289966116,0.22911694476384278,0.256685729,include,grad_cal,75.0,24.237689971923828,26.331682205200195,23.293021299989636,27.231189727783203,grad_cal,0.007078842725604773,0.6114940643310547,0.07983457297086716,3.0901127132729265,25.0,Mozambique Channel
TEXAS_PSM_RR00015,64PE304-63,PC,0.0,1.0,-16.5887,40.3608,1695.0,0.689,0.234902666,0.07095497,0.091567971,0.016249911,0.537073889,0.049250592,0.1102,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.648138569,3.23446305,3.23446305,5.634982923906476,0.23366027339164702,0.234902666,include,grad_cal,75.0,23.541589736938477,26.017175674438477,22.64056359253342,27.017900466918945,grad_cal,0.014614410698413849,2.094724655151367,0.3927549719810486,4.16605626018471,25.0,Mozambique Channel
