sampleID,core_name,core_type,sample_depth_start,sample_depth_end,Latitude,Longitude,modernWaterDepth,TEX86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BIT,publicationYear,reference_name,remark,reference_link,RI_zhang16,RI_zhang16_revised,RI_0to5,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,QC_flag,match_lat,match_lon,match_depth,SST,thermocline_depth,thermocline_T,thermocline_T_depthIntegral,SSN,thermocline_nitrate,thermocline_nitrate_depthIntegral,region_ID,regionName,pred_tex,tex_residuals
TEXAS_PSM_RR00001,GeoB7702-3,GC,5.0,6.0,31.6517,34.0733,562.0,0.662,,,,,,,0.256,2010,Castaneda2010,,http://dx.doi.org/10.1029/2009PA001740,,,,,-999.0,-999.0,include,31.625,34.125,550.0,22.62221,55.0,19.00691,21.589685,0.08824644,0.003864551,0.025727922,,,0.5926877,0.06931227397918704
TEXAS_PSM_RR00002,KNR195-5 MC11,MC,6.0,8.0,-1.5327,-86.7852,2288.0,0.602872857,0.330589243,0.067609609,0.064170863,0.004866793,0.499163998,0.033599494,0.026816557,This Study,this study,,,2.341605682,2.8743691740000004,2.8743691740000004,13.185451487252486,0.20413066801076218,0.330589243,include,-1.625,-86.875,2300.0,23.40901,25.0,20.86151,22.520248,4.0946407,8.300386,5.318187,10.0,East Equatorial Pacific,0.6025371,0.00033576145327762763
TEXAS_PSM_RR00003,KNR195-5 MC12,MC,0.0,1.0,-3.7105,-81.1153,378.0,0.57,,,,,,,-999.0,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/,,,,,-999.0,-999.0,include,-3.625,-81.125,375.0,23.41811,15.0,20.73,22.093159,3.5177152,5.8043976,4.2084436,,,0.5980166,-0.02801661968231206
TEXAS_PSM_RR00004,KNR195-5 MC16,MC,0.0,1.0,-3.7502,-81.1358,379.0,0.572,,,,,,,-999.0,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/,,,,,-999.0,-999.0,include,-3.875,-81.125,375.0,23.31791,15.0,20.583,22.041553,4.4152403,7.1120343,5.37834,,,0.5974704,-0.02547040271759038
TEXAS_PSM_RR00005,KNR195-5 MC18,MC,4.0,6.0,-3.969,-81.31,1024.0,0.599446802,0.282415155,0.062783799,0.052368999,0.010725396,0.560842121,0.03086453,0.033433999,This Study,this study,,,2.5665245889999997,3.1582312399999997,3.1582312399999997,4.882710064971028,0.17541924815873167,0.282415155,include,-3.875,-81.375,1000.0,22.38611,15.0,20.11931,21.319408,4.3262396,6.4624686,4.9695497,10.0,East Equatorial Pacific,0.589827,0.009619800905181886
TEXAS_PSM_RR00006,KNR195-5 MC22,MC,0.0,1.0,-3.8503,-81.25,689.0,0.567,,,,,,,-999.0,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/,,,,,-999.0,-999.0,include,-3.875,-81.375,700.0,23.31791,15.0,20.583,22.041553,4.4152403,7.1120343,5.37834,,,0.5974704,-0.030470402717590384
TEXAS_PSM_RR00007,KNR195-5 MC25,MC,5.0,7.0,-3.583,-81.165,381.0,0.617191577,0.292011378,0.064581435,0.060659525,0.013756194,0.539284302,0.029707167,0.029310252,This Study,this study,,,2.503134943,3.0721264120000003,3.0721264120000003,4.409615406703336,0.19632681865849702,0.292011378,include,-3.625,-81.125,375.0,23.41811,15.0,20.73,22.093159,3.5177152,5.8043976,4.2084436,10.0,East Equatorial Pacific,0.5980166,0.019174957317688035
TEXAS_PSM_RR00008,KNR195-5 MC33,MC,3.0,5.0,-3.2237,-82.9142,2949.0,0.605147278,0.30927021,0.069123602,0.059718388,0.00869436,0.515668055,0.037525385,0.035502457,This Study,this study,,,2.427417218,2.980610658,2.980610658,6.868635299205462,0.19911744359541814,0.30927021,include,-3.125,-82.875,2900.0,22.126291,35.0,18.431309,20.6249,4.1205397,11.105642,6.493748,10.0,East Equatorial Pacific,0.58247614,0.022671138931396495
TEXAS_PSM_RR00009,KNR195-5 MC34,MC,4.0,6.0,-3.5975,-83.9632,3224.0,0.588670023,0.344232594,0.076125124,0.068809566,0.008161829,0.470696713,0.031974174,0.032599689,This Study,this study,,,2.248913291,2.751584178,2.751584178,8.430655187703637,0.23346161702949902,0.344232594,include,-3.625,-83.875,3200.0,22.478,35.0,18.94151,21.165697,5.059356,10.533526,6.70845,10.0,East Equatorial Pacific,0.5882001,0.0004699306843262141
TEXAS_PSM_RR00010,KNR195-5 MC38,MC,0.0,1.0,-1.2657,-89.6993,597.0,0.567,,,,,,,-999.0,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/,,,,,-999.0,-999.0,include,-1.375,-89.625,600.0,23.59299,25.0,20.918709,22.614927,4.060376,8.61444,5.34638,,,0.6035392,-0.036539228439331106
TEXAS_PSM_RR00011,KNR195-5 MC4,MC,4.0,6.0,-0.216,-89.504,1612.0,0.623206848,0.328431624,0.069246957,0.07035175,0.007158687,0.487788611,0.037022371,0.188620497,This Study,this study,,,2.330670446,2.855481428,2.855481428,9.82746556735893,0.21852934004146735,0.328431624,include,-0.125,-89.625,1600.0,24.554491,25.0,21.98019,23.759249,3.371564,7.2458677,4.4067135,10.0,East Equatorial Pacific,0.6156511,0.00755577692837528
TEXAS_PSM_RR00012,KNR195-5 MC42,MC,3.0,5.0,-1.253,-89.6855,615.0,0.630416208,0.297720977,0.073346752,0.072606442,0.010907081,0.503821316,0.041597433,0.032614874,This Study,this study,,,2.4329558749999998,2.9783746239999997,2.9783746239999997,6.656816979721705,0.2233589067014481,0.297720977,include,-1.375,-89.625,600.0,23.59299,25.0,20.918709,22.614927,4.060376,8.61444,5.34638,10.0,East Equatorial Pacific,0.6035392,0.026876979560668923
TEXAS_PSM_RR00013,KNR195-5 MC9,MC,5.0,7.0,-0.826,-87.9082,1563.0,0.613468173,0.313385037,0.07307093,0.071792069,0.006095506,0.497572497,0.038083961,0.032469552,This Study,this study,,,2.377567418,2.913223876,2.913223876,11.77786864617966,0.21985903764814982,0.313385037,include,-0.875,-87.875,1550.0,23.899809,30.0,20.003891,22.52226,3.7207832,9.812277,5.6228843,10.0,East Equatorial Pacific,0.6025584,0.010909798595092779
TEXAS_PSM_RR00014,64PE304-56,PC,0.0,1.0,-16.85,41.32,2652.0,0.686,0.256685729,0.068813559,0.08937023,0.012122106,0.523951803,0.049056574,0.1251,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.575953845,3.148962222,3.148962222,7.372500289966116,0.22911694476384278,0.256685729,include,-16.875,41.375,2700.0,27.743109,75.0,24.40491,26.529945,0.0065327995,0.4793036,0.058897782,25.0,Mozambique Channel,0.644977,0.04102302646636968
TEXAS_PSM_RR00015,64PE304-63,PC,0.0,1.0,-16.5887,40.3608,1695.0,0.689,0.234902666,0.07095497,0.091567971,0.016249911,0.537073889,0.049250592,0.1102,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.648138569,3.23446305,3.23446305,5.634982923906476,0.23366027339164702,0.234902666,include,-16.625,40.375,1700.0,27.56929,80.0,23.268091,25.998505,0.013678089,2.0545168,0.37833658,25.0,Mozambique Channel,0.6393521,0.04964791679382319
TEXAS_PSM_RR00016,64PE304-66,PC,0.0,1.0,-16.5342,40.05458,1103.0,0.691,0.189589377,0.063497985,0.080013618,0.01820983,0.605018446,0.043670744,0.0978,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.872911471,3.521600661,3.521600661,4.393979405628718,0.19955492735440117,0.189589377,include,-16.625,40.125,1100.0,27.52871,80.0,23.07491,25.891788,0.014874479,2.5999575,0.51631916,25.0,Mozambique Channel,0.6382226,0.05277742481231684
TEXAS_PSM_RR00017,64PE304-68,PC,0.0,1.0,-16.5029,40.0252,756.0,0.692,0.205340626,0.068953196,0.087240435,0.022420906,0.570673202,0.045371636,0.0933,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.7748761360000005,3.390920974,3.390920974,3.891030763877249,0.22476867777467543,0.205340626,include,-16.625,40.125,750.0,27.52871,80.0,23.07491,25.891788,0.014874479,2.5999575,0.51631916,25.0,Mozambique Channel,0.6382226,0.05377742481231684
TEXAS_PSM_RR00018,M75-1b MC7,MC,0.0,1.0,-17.27183333,43.15516667,455.0,0.715,0.171708781,0.06376583,0.088727922,0.022747637,0.604781212,0.048268617,0.0235,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.921663901,3.57471373,3.57471373,3.9005335806967554,0.21156977786525316,0.171708781,include,-17.375,43.125,450.0,27.7068,150.0,20.48491,24.66192,0.02001921,0.61209494,0.030311607,25.0,Mozambique Channel,0.6252052,0.0897947812080383
TEXAS_PSM_RR00019,M75-1b MC3,MC,0.0,1.0,-16.92366667,41.59883333,2768.0,0.687,0.238238459,0.067944047,0.089057989,0.012626997,0.544638798,0.04749371,0.1356,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.652471048,3.2446035560000004,3.2446035560000004,7.052982510410037,0.22267996462163217,0.238238459,include,-16.875,41.625,2800.0,27.76251,75.0,24.54041,26.583649,0.0061543477,0.4288171,0.048258577,25.0,Mozambique Channel,0.6455454,0.041454576969146784
TEXAS_PSM_RR00020,M75-1b MC9,MC,0.0,1.0,-16.55583333,40.13483333,1345.0,0.7,0.20723775,0.067271673,0.08889238,0.017200193,0.56847128,0.050926724,0.0753,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.774249028,3.3936470319999996,3.3936470319999996,5.168103636976632,0.21868378066690233,0.20723775,include,-16.625,40.125,1350.0,27.52871,80.0,23.07491,25.891788,0.014874479,2.5999575,0.51631916,25.0,Mozambique Channel,0.6382226,0.06177742481231685
TEXAS_PSM_RR00021,M75-1b MC5,MC,0.0,1.0,-17.25283333,43.09616667,1027.0,0.707,0.202558454,0.06881448,0.098607475,0.016757217,0.562398297,0.050864077,0.0161,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.769350577,3.3826129509999996,3.3826129509999996,5.884478013264374,0.23096259898151836,0.202558454,include,-17.375,43.125,1050.0,27.7068,150.0,20.48491,24.66192,0.02001921,0.61209494,0.030311607,25.0,Mozambique Channel,0.6252052,0.08179478120803829
TEXAS_PSM_RR00022,M75-1b MC4,MC,0.0,1.0,-16.72883333,40.874,2266.0,0.687,0.240060195,0.072213199,0.095731803,0.013514261,0.528901469,0.049579073,0.0765,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.618141756,3.1966222980000003,3.1966222980000003,7.083761590811366,0.23878110056361634,0.240060195,include,-16.625,40.875,2300.0,27.660591,75.0,24.052109,26.358267,0.010047516,0.80870205,0.123431526,25.0,Mozambique Channel,0.64315987,0.04384013366699224
TEXAS_PSM_RR00023,M75-1b MC1,MC,0.0,1.0,-17.099,42.4755,2198.0,0.698,0.228444727,0.070145469,0.097444467,0.013069467,0.538971015,0.051924856,0.0304,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002,2.667826288,3.258722159,3.258722159,7.4558868391496,0.234149657306341,0.228444727,include,-17.125,42.375,2200.0,27.73231,150.0,20.33401,24.618113,0.008625211,9.330637,2.4930387,25.0,Mozambique Channel,0.62474155,0.07325844573974605
TEXAS_PSM_RR00024,KH04-5 SX10,GC,0.0,1.0,-67.2167,-172.65,3884.0,0.317,0.548,0.041,0.012,0.002,0.392,0.005,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,1.659,2.056,2.056,6.0,0.12168141592920355,0.548,include,-67.125,-172.625,3900.0,-1.28251,125.0,-0.37941003,-1.3422395,29.92458,32.26823,31.195446,30.0,Pacific-Southern Ocean,0.34996894,-0.03296894001960754
TEXAS_PSM_RR00025,KH04-5 SX09,GC,0.0,1.0,-65.15,174.2,3393.0,0.34,0.543,0.031,0.009,0.002,0.41,0.005,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,1.7149999999999999,2.13,2.13,4.5,0.09190371991247266,0.543,include,-65.125,174.125,3400.0,-0.87941,5.0,-1.10191,-0.99066,29.643177,29.643818,29.643497,30.0,Pacific-Southern Ocean,0.35369015,-0.01369014739990232
TEXAS_PSM_RR00026,KH01-3 St. 17,GC,0.0,1.0,-60.0,140.0,4483.0,0.354,0.54,0.042,0.014,0.002,0.396,0.007,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,1.6880000000000002,2.091,2.091,7.0,0.12581344902386118,0.54,include,-60.125,139.875,4500.0,1.16679,175.0,1.43011,0.72120804,26.308533,31.175652,28.76769,41.0,Tasman-Antarctica 140E Transect,0.37180912,-0.017809124946594257
