sampleID,index_column,core_name,core_type,sample_depth_start,sample_depth_end,Latitude,Longitude,modernWaterDepth,TEX86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BIT,publicationYear,reference_name,remark,reference_link,dataset_DOI,ringIndex,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,TEX_RI,deltaRI,QC_flag,match_lat,match_lon,match_depth,SST,thermocline_depth,thermocline_T,thermocline_T_depthIntegral,SSN,thermocline_nitrate,thermocline_nitrate_depthIntegral,region_ID,regionName,pred_tex,tex_residuals
RR00001,JET_RR_00001,GeoB7702-3,GC,5.0,6.0,31.6517,34.0733,562.0,0.662,,,,,,,0.256,2010.0,Castaneda2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1029/2009PA001740,'https://doi.org/10.25921/wt2r-sc81,,,-999.0,-999.0,2.53523008,,include,31.625,34.125,550.0,22.62221,55.0,19.00691,21.589685,0.08824644,0.003864551,0.025727922,,,0.59911716,0.06288284015655521
RR00002,JET_RR_00002,KNR195-5-5 MC11,MC,6.0,8.0,-1.5327,-86.7852,2288.0,0.602872857,0.330589243,0.067609609,0.064170863,0.004866793,0.499163998,0.033599494,0.026816557,2025.0,this study,Reanalysed samples of Chazen2011 by this study,,10.5281/zenodo.14806962,2.341605682,13.185451487252486,0.20413066801076218,0.330589243,2.3324607633783767,-0.009144918621623255,include,-1.625,-86.875,2300.0,23.40901,,,,4.0946407,nan,nan,10.0,East Equatorial Pacific,,
RR00003,JET_RR_00003,KNR195-5-6 MC12,MC,0.0,1.0,-3.7105,-81.1153,378.0,0.57,,,,,,,-999.0,2011.0,Chazen2011,Data published in Tierney & Tingley (2015),https://repository.library.brown.edu/studio/item/bdr:11417/,'https://doi.org/10.25921/wt2r-sc81,,,-999.0,-999.0,2.229768,,include,-3.625,-81.125,375.0,23.41811,,,,3.5177152,nan,nan,,,,
RR00004,JET_RR_00004,KNR195-5-7 MC16,MC,0.0,1.0,-3.7502,-81.1358,379.0,0.572,,,,,,,-999.0,2011.0,Chazen2011,Data published in Tierney & Tingley (2015),https://repository.library.brown.edu/studio/item/bdr:11417/,'https://doi.org/10.25921/wt2r-sc81,,,-999.0,-999.0,2.23581088,,include,-3.875,-81.125,375.0,23.31791,,,,4.4152403,nan,nan,,,,
RR00005,JET_RR_00005,KNR195-5-8 MC18,MC,4.0,6.0,-3.969,-81.31,1024.0,0.599446802,0.282415155,0.062783799,0.052368999,0.010725396,0.560842121,0.03086453,0.033433999,2025.0,this study,Reanalysed samples of Chazen2011 by this study,,10.5281/zenodo.14806962,2.5665245889999997,4.882710064971028,0.17541924815873167,0.282415155,2.32142303764105,-0.24510155135894962,include,-3.875,-81.375,1000.0,22.38611,,,,4.3262396,nan,nan,10.0,East Equatorial Pacific,,
RR00006,JET_RR_00006,KNR195-5-9 MC22,MC,0.0,1.0,-3.8503,-81.25,689.0,0.567,,,,,,,-999.0,2011.0,Chazen2011,Data published in Tierney & Tingley (2015),https://repository.library.brown.edu/studio/item/bdr:11417/,'https://doi.org/10.25921/wt2r-sc81,,,-999.0,-999.0,2.22075348,,include,-3.875,-81.375,700.0,23.31791,,,,4.4152403,nan,nan,,,,
RR00007,JET_RR_00007,KNR195-5 MC25,MC,5.0,7.0,-3.583,-81.165,381.0,0.617191577,0.292011378,0.064581435,0.060659525,0.013756194,0.539284302,0.029707167,0.029310252,2025.0,this study,New GDGT measurements published in this study,,10.5281/zenodo.14806962,2.503134943,4.409615406703336,0.19632681865849702,0.292011378,2.37943495553956,-0.12369998746043986,include,-3.625,-81.125,375.0,23.41811,15.0,20.73,22.093159,3.5177152,5.8043976,4.2084436,10.0,East Equatorial Pacific,0.60494083,0.012250745338775682
RR00008,JET_RR_00008,KNR195-5-13 MC33,MC,3.0,5.0,-3.2237,-82.9142,2949.0,0.605147278,0.30927021,0.069123602,0.059718388,0.00869436,0.515668055,0.037525385,0.035502457,2025.0,this study,Reanalysed samples of Chazen2011 by this study,,10.5281/zenodo.14806962,2.427417218,6.868635299205462,0.19911744359541814,0.30927021,2.339831313135087,-0.08758590486491302,include,-3.125,-82.875,2900.0,22.126291,,,,4.1205397,nan,nan,10.0,East Equatorial Pacific,,
RR00009,JET_RR_00009,KNR195-5-14 MC34,MC,4.0,6.0,-3.5975,-83.9632,3224.0,0.588670023,0.344232594,0.076125124,0.068809566,0.008161829,0.470696713,0.031974174,0.032599689,2025.0,this study,Reanalysed samples of Chazen2011 by this study,,10.5281/zenodo.14806962,2.248913291,8.430655187703637,0.23346161702949902,0.344232594,2.287211636939684,0.038298345939684175,include,-3.625,-83.875,3200.0,22.478,,,,5.059356,nan,nan,10.0,East Equatorial Pacific,,
RR00010,JET_RR_00010,KNR195-5-15 MC38,MC,0.0,1.0,-1.2657,-89.6993,597.0,0.567,,,,,,,-999.0,2011.0,Chazen2011,Data published in Tierney & Tingley (2015),https://repository.library.brown.edu/studio/item/bdr:11417/,'https://doi.org/10.25921/wt2r-sc81,,,-999.0,-999.0,2.22075348,,include,-1.375,-89.625,600.0,23.59299,,,,4.060376,nan,nan,,,,
