core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,wdepth,UK37,include,reference_name,reference_link,notes
GeoB5844-2,GC,-999,-999,27.714,34.682,963,0.950,1,Arz2003  Leduc2010, http://dx.doi.org/10.1126/science.1080325  http://dx.doi.org/10.1016/j.quascirev.2010.01.004,backcalculated from sst=26.8
SU81-18,PC,10,11,37.767,-10.183,3135,0.637,1,Bard2000  Leduc2010,http://dx.doi.org/10.1126/science.289.5483.1321  http://dx.doi.org/10.1016/j.quascirev.2010.01.004,
SO136-GC11,GC,-999,-999,-43.44,167.851,1556,0.539,1,Barrows2007  Leduc2010,http://dx.doi.org/10.1126/science.1145873  http://dx.doi.org/10.1016/j.quascirev.2010.01.004,backcalculated from sst=15
GeoB15104-1,MC,0,2,40.8,27.72,606,0.617,1,Becker2015,http://dx.doi.org/10.1016/j.orggeochem.2015.04.008,
JR51-GC35,PC,-999,-999,66.999,-17.961,420,0.231,1,Bendle2007  Leduc2010,http://dx.doi.org/10.1177/0959683607073269  http://dx.doi.org/10.1016/j.quascirev.2010.01.004,backcalculated from sst=4.6
MD95-2043,JPC,0,1,36.143,-2.622,1841,0.664,1,Cacho1999  Leduc2010,http://dx.doi.org/10.1016/j.quascirev.2010.01.004  http://dx.doi.org/10.1029/1999pa900044,backcalculated from sst=18.8
BS79-33,GC,10,11,38.262,14.03,1282,0.589,1,Cacho2001  Leduc2010,http://dx.doi.org/10.1016/j.quascirev.2010.01.004  http://dx.doi.org/10.1029/2000pa000502,backcalculated from sst=16.5
BS79-38,GC,5,5,38.412,13.577,1489,0.602,1,Cacho2001  Leduc2010,http://dx.doi.org/10.1016/j.quascirev.2010.01.004  http://dx.doi.org/10.1029/2000pa000502,backcalculated from sst=16.9
M39-008,GC,5,6,36.382,-7.077,576,0.704,1,Cacho2001  Leduc2010,http://dx.doi.org/10.1016/j.quascirev.2010.01.004  http://dx.doi.org/10.1029/2000pa000502,backcalculated from sst=20
MD03-2611,GC,-999,-999,-36.733,136.55,2420,0.625,1,Calvo2007  Leduc2010,http://dx.doi.org/10.1016/j.quascirev.2010.01.004  http://dx.doi.org/10.1029/2007gl029937,backcalculated from sst=17.6
MD07-3128,JPC,0,1,-52.66,-75.57,1032,0.416,1,Caniup‡n2011,http://dx.doi.org/10.1029/2010PA002049,backcalculated from sst=11.1
GeoB10008-4,MC,0,1,-0.955,98.26,934,0.978,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10010-1,MC,0,1,-1.178,97.982,2937,0.956,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10014-1,MC,0,1,1.679,96.981,1158,0.977,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10015-1,MC,0,1,1.633,96.886,1464,0.972,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10016-2,MC,0,1,1.597,96.66,1900,0.963,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10022-3,MC,0,1,-0.008,98.014,704,0.969,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10024-3,MC,0,1,-0.768,99.268,1381,0.911,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10025-3,MC,0,1,-0.674,99.123,1149,0.980,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10026-2,MC,0,1,-0.944,99.521,1641,0.986,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10027-3,MC,0,1,-0.809,99.653,875,0.957,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10028-4,MC,0,1,-0.697,99.763,522,0.946,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10029-3,MC,0,1,-1.496,100.126,974,0.973,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10031-3,MC,0,1,-1.699,99.603,1671,0.855,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10032-1,MC,0,1,-1.011,99.011,1758,0.974,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10033-5,MC,0,1,-1.009,99.016,1755,0.971,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10034-3,MC,0,1,-4.165,101.499,995,0.959,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10036-3,MC,0,1,-5.339,103.657,1502,0.974,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10037-2,MC,0,1,-5.008,103.009,2016,0.957,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10038-3,MC,0,1,-5.937,103.246,1891,0.966,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10039-3,MC,0,1,-5.868,103.294,1799,0.978,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10040-3,MC,0,1,-6.476,102.859,2605,0.953,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10041-3,MC,0,1,-6.274,103.009,1540,0.946,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
