depth,age,d18O_ruber,tex86,uk37
2.5,201.5,-1.62,0.676,0.945
5,403,-1.73,0.692,0.947
7.5,604.5,-1.66,0.687,0.944
10,818.682,-1.74,0.682,0.947
12.5,1032.864,-1.79,0.697,0.939
15,1247.045,-1.94,0.684,0.942
17.5,1461.227,-1.71,0.704,0.936
20,1675.409,-1.65,0.693,0.939
22.5,1889.591,-1.82,0.689,0.936
25,2103.773,-1.7,0.697,0.932
27.5,2317.955,-1.79,0.704,0.929
30,2532.136,-1.82,0.713,0.94
32.5,2746.318,-1.71,0.7,0.936
35,2960.5,-2.11,0.697,0.941
37.5,3306.375,-1.72,0.707,0.934
40,3652.25,-1.77,0.697,0.931
42.5,3998.125,-1.82,0.704,0.934
45,4344,-1.67,0.719,0.936
47.5,4689.875,-1.77,0.695,0.942
50,5035.75,-1.67,0.707,0.938
52.5,5381.625,-1.8,0.689,0.946
55,5727.5,-1.84,0.719,0.943
57.5,6124.333,-1.8,0.714,0.942
60,6521.167,-1.69,-999,-999
62.5,6918,-1.79,0.707,0.925
65,7314.833,-1.91,0.698,0.937
67.5,7711.667,-1.62,0.696,0.929
70,8108.5,-1.58,0.679,0.932
72.5,8367.25,-999,0.694,0.934
75,8626,-1.6,0.693,0.934
77.5,8884.75,-1.69,0.687,0.923
80,9143.5,-1.79,0.677,0.932
82.5,9474.071,-1.41,0.684,0.925
85,9804.643,-1.38,0.693,0.924
87.5,10135.21,-1.45,0.688,0.925
90,10465.79,-1.51,0.694,0.921
92.5,10796.36,-0.97,0.698,0.925
95,11126.93,-1.14,0.694,0.916
97.5,11457.5,-0.94,0.693,0.92
100,11688.64,-0.88,0.696,0.914
102.5,11919.79,-0.79,-999,0.913
105,12150.93,-0.67,0.724,0.909
107.5,12382.07,-0.87,0.735,0.907
110,12613.21,-0.74,0.722,0.908
112.5,12844.36,-0.85,0.69,0.906
115,13075.5,-0.89,0.7,0.909
117.5,13364,-1.09,0.698,0.915
120,13652.5,-0.73,0.688,0.907
122.5,13941,-0.62,0.671,0.912
125,14229.5,-0.79,0.672,0.907
127.5,14518,-0.34,0.671,0.893
130,14795,-0.15,0.7,0.897
132.5,15072,-0.39,-999,-999
133,15127.4,-999,0.707,0.89
135,15349,-0.45,0.734,0.887
137.5,15626,-0.05,0.712,0.876
140,15903,-0.08,0.738,0.877
142.5,16180,-0.09,0.726,0.877
145,16536.86,-0.15,0.739,0.873
147.5,16893.71,-0.22,0.716,0.874
150,17250.57,-0.26,0.704,0.868
152.5,17607.43,-0.01,0.69,0.866
155,17964.29,-0.19,0.668,0.864
157.5,18321.14,-0.09,0.664,0.867
160,18678,-0.3,0.647,0.869
162.5,18792.5,-0.2,0.644,0.871
165,18907,-0.04,0.642,0.875
167.5,19035.42,-0.47,0.641,0.876
170,19163.83,-0.12,0.647,0.871
172.5,19292.25,-0.13,0.65,0.87
175,19420.67,-0.26,0.643,0.873
177.5,19549.08,-0.43,0.647,0.871
180,19677.5,0.01,0.647,0.867
182.5,20286.29,-0.13,0.658,0.873
185,20895.07,0.02,0.639,0.864
187.5,21503.86,-0.17,0.637,0.872
190,22112.64,-0.03,0.655,0.874
192.5,22721.43,-0.22,0.649,0.877
195,23330.22,-0.05,-999,-999
197.5,23939,-0.24,-999,-999
200,24547.79,-0.51,-999,-999
