# NICOPP Global Ocean Sediment Nitrogen Isotope Database
#----------------------------------------------------------------------- 
#               World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data, 
# plus the Online Resource and date accessed.
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14114
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/nicopp/nicopp-coretop-data.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#--------------------
# Contribution_Date
#	Date: 2013-03-12 
#--------------------
# Title
#	Study_Name: NICOPP Global Ocean Sediment Nitrogen Isotope Database
#--------------------
# Investigators
#	Investigators: Tesdal, J.-E.; Galbraith, E.D.; Kienast, M.
#--------------------
# Description_and_Notes
# 
# Nitrogen Cycle in the Ocean, Past and Present (NICOPP) database of global ocean marine sedimentary d15N measurements, 
# from both seafloor samples and subseafloor records.
#
# NICOPP is a joint working group of PAGES and IMAGES. NICOPP studies Nitrogen isotope (d15N) dynamics as recorded in 
# the sedimentary record in order to learn about the dynamics of the marine nutrient cycle in the Quaternary and the present. 
# For the seafloor compilation, d15N is given as point measurements along with the corresponding latitude and longitude. 
# Currently, it contains data from about 2,300 samples. The subseafloor compilation includes almost all bulk marine 
# sedimentary d15N records published in the literature. Along with the d15N measurements, we included the corresponding 
# sediment depth, a published age model (if available), nitrogen content (N%), total organic carbon content (Corg%), 
# and dry bulk density. There are currently about 140 d15N records included in the database. The timespans of the given 
# records range from a few hundred years to four million years.
#
# More information on NICOPP: http://www.pages-igbp.org/index.php/workinggroups/nicopp
#
#--------------------
# Publication
#	Authors: J.-E. Tesdal, E.D. Galbraith, and M. Kienast
#       Published_Date_or_YEAR: 2013-01-09
#	Published_Title: Nitrogen isotopes in bulk marine sediment: linking seafloor observations with subseafloor records
#	Journal_Name: Biogeosciences 
#	Volume: 10
#	Issue: 1
#	Pages: 101-118
#	DOI: 10.5194/bg-10-101-2013
#	Abstract: The stable isotopes of nitrogen offer a unique perspective on changes in the nitrogen cycle, past and present. However, the presence of multiple forms of nitrogen in marine sediments can complicate the interpretation of bulk nitrogen isotope measurements. Although the large-scale global patterns of seafloor d15N have been shown to match process-based expectations, small-scale heterogeneity on the seafloor, or alterations of isotopic signals during translation into the subseafloor record, could obscure the primary signals. Here, a public database of nitrogen isotope measurements is described, including both seafloor and subseafloor sediment samples ranging in age from modern to the Pliocene, and used to assess these uncertainties. In general, good agreement is observed between neighbouring seafloor sites within a 100 km radius, with 85% showing differences of < 1 per mil. There is also a good correlation between the d15N of the shallowest (< 5 ka) subseafloor sediments and neighbouring seafloor sites within a 100 km radius (R2 = 0.83), which suggests a reliable translation of sediments into the buried sediment record. Meanwhile, gradual d15N decreases over multiple glacial-interglacial cycles appear to reflect post-depositional alteration in records from the deep sea (below 2000 m). We suggest a simple conceptual model to explain these 100-kyr-timescale changes in well-oxygenated, slowly accumulating sediments, which calls on differential loss rates for pools of organic N with different d15N. We conclude that bulk sedimentary nitrogen isotope records are reliable monitors of past changes in the marine nitrogen cycle at most locations, and could be further improved with a better understanding of systematic post-depositional alteration. Furthermore, geochemical or environmental criteria should be developed in order to effectively identify problematic locations and to account for confounding influences where possible.
#
#---------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant:  
#-------------------- 
# Site_Information 
#       Site_Name:  
#	Location:      
#	Country:  
#	Northernmost_Latitude:  
# 	Southernmost_Latitude:  
# 	Easternmost_Longitude:  
# 	Westernmost_Longitude:   
# 	Elevation:   m 
#------------------   
# Data_Collection  
#	Core_Name:  
#	First_Year:   
#	Last_Year:  
#	Time_Unit:   
#	Core_Length:    
#	Notes: 
#------------------
# Chronology 
#
# 
# 
#------------------
# Variables
# 
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: material, error, units, anomaly, period, archive, detail, method, C or N for Character or Numeric data) 
# Data line format: tab-delimited text, variable short name as header
# 
## core_id	Core ID, , , , , , , , C
## water_depth_m	Water Depth, , , m, , , , , N
## lon 	Longitude, , , deg, , , , , N
## lat 	Latitude, , , deg, , , , , N
## d15N	delta N15, , , permil, , , , , N
## ocean	Ocean, , , , , , , , C
## reference	Author/Reference, , , , , , , , C
## tag	Acidified Tag, , , , , , , , C
#
#------------------
# Data:
# Missing_Values: NA
core_id		water_depth_m	lon	lat	d15N	ocean	reference	tag
ODP 1228		273	281.92217	-11.06417	5.351	Eastern Pacific	Agnihotri et al. (2006)	
D13882-5			350.54580	38.63450	5.6	Iberian Margin	Alt-Epping et al. (2007)	
GeoB8903-1		102	350.49170	38.62500	5.8	Iberian Margin	Alt-Epping et al. (2007)	
Plutur6-01		19	350.73940	38.69220	6.3	Iberian Margin	Alt-Epping et al. (2007)	
Plutur6-14		54	350.57583	38.64611	6.1	Iberian Margin	Alt-Epping et al. (2007)	
Plutur6-21		101	350.66306	38.54528	5.8	Iberian Margin	Alt-Epping et al. (2007)	
Plutur6-23		100	350.52300	38.62200	5.4	Iberian Margin	Alt-Epping et al. (2007)	
Plutur6-25		101	350.41830	38.68780	5.4	Iberian Margin	Alt-Epping et al. (2007)	
PO287-001		13	350.88890	38.70830	5.8	Iberian Margin	Alt-Epping et al. (2007)	
PO287-004		78	351.03833	41.38333	5.6	Iberian Margin	Alt-Epping et al. (2007)	
PO287-005		87	351.00167	41.37333	4.9	Iberian Margin	Alt-Epping et al. (2007)	
PO287-006		84	351.01167	41.33500	5.6	Iberian Margin	Alt-Epping et al. (2007)	
PO287-008		88	350.98667	41.29167	4.3	Iberian Margin	Alt-Epping et al. (2007)	
PO287-009		77	351.03167	41.26833	7	Iberian Margin	Alt-Epping et al. (2007)	
PO287-010		67	351.05000	41.23833	7.9	Iberian Margin	Alt-Epping et al. (2007)	
PO287-011		80	350.99500	41.23833	4.1	Iberian Margin	Alt-Epping et al. (2007)	
PO287-012		97	350.94500	41.20833	4.5	Iberian Margin	Alt-Epping et al. (2007)	
PO287-013		81	350.98667	41.15667	4.9	Iberian Margin	Alt-Epping et al. (2007)	
PO287-014		94	350.77333	39.74000	4.5	Iberian Margin	Alt-Epping et al. (2007)	
PO287-015		111	350.74667	39.73667	5.4	Iberian Margin	Alt-Epping et al. (2007)	
PO287-016		120	350.71833	39.73333	5.2	Iberian Margin	Alt-Epping et al. (2007)	
PO287-017		134	350.56000	39.85000	5.5	Iberian Margin	Alt-Epping et al. (2007)	
PO287-018		115	350.71667	39.85000	5.4	Iberian Margin	Alt-Epping et al. (2007)	
PO287-019		103	350.76667	39.84833	5	Iberian Margin	Alt-Epping et al. (2007)	
PO287-020		100	350.77333	39.96667	4.9	Iberian Margin	Alt-Epping et al. (2007)	
PO287-021		128	350.62500	39.96667	5.2	Iberian Margin	Alt-Epping et al. (2007)	
PO287-026		96	350.63667	38.55833	5.3	Iberian Margin	Alt-Epping et al. (2007)	
PO287-027		86	350.53500	38.63330	6.2	Iberian Margin	Alt-Epping et al. (2007)	
PO287-028		105	350.48500	38.62500	5.7	Iberian Margin	Alt-Epping et al. (2007)	
PO287-030		108	351.11667	37.63833	3.8	Iberian Margin	Alt-Epping et al. (2007)	
PO287-031		104	351.12167	37.66167	3.6	Iberian Margin	Alt-Epping et al. (2007)	
PO287-032		134	351.07000	37.66167	3.7	Iberian Margin	Alt-Epping et al. (2007)	
PO287-033		119	351.09000	37.67833	3.6	Iberian Margin	Alt-Epping et al. (2007)	
PO287-034		90	351.13833	37.67667	4.7	Iberian Margin	Alt-Epping et al. (2007)	
PO287-035		106	351.10833	37.70667	4.7	Iberian Margin	Alt-Epping et al. (2007)	
PO287-036		145	351.01167	37.70667	4	Iberian Margin	Alt-Epping et al. (2007)	
PO287-037		128	351.07500	37.75000	5.2	Iberian Margin	Alt-Epping et al. (2007)	
PO287-038		92	351.12167	37.75833	4.6	Iberian Margin	Alt-Epping et al. (2007)	
PO287-040		493	350.77500	37.69000	5.4	Iberian Margin	Alt-Epping et al. (2007)	
PO287-043		292	350.91170	37.83330	4.6	Iberian Margin	Alt-Epping et al. (2007)	
TJ17		7	350.91140	38.76460	5.5	Iberian Margin	Alt-Epping et al. (2007)	
TJ38		10	350.75470	38.69340	6.4	Iberian Margin	Alt-Epping et al. (2007)	
TV29			350.91220	38.78770	6.7	Iberian Margin	Alt-Epping et al. (2007)	
TV55			350.89240	38.70180	6	Iberian Margin	Alt-Epping et al. (2007)	
TV62			350.94670	38.72860	6.4	Iberian Margin	Alt-Epping et al. (2007)	
TV65			350.97460	38.75830	7.1	Iberian Margin	Alt-Epping et al. (2007)	
W8803B-T-12		4255	225.65000	-12.15000	15.500	Eastern Pacific	Altabet and Francois (1994)	
W8803B-T-16		4465	216.03000	-8.98000	7.740	Eastern Pacific	Altabet and Francois (1994)	
W8803B-T-23		4590	225.00000	-5.98000	7.720	Eastern Pacific	Altabet and Francois (1994)	
W8803B-T-31		4570	225.00000	-2.97000	7.710	Eastern Pacific	Altabet and Francois (1994)	
