core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
GeoB7702-3,GC,5,6,31.6517,34.0733,562,0.662,,,,,,,0.256,2010,Castaneda2010,,http://dx.doi.org/10.1029/2009PA001740
KNR195-5 MC11,MC,6,8,-1.5327,-86.7852,2288,0.602872857,0.330589243,0.067609609,0.064170863,0.004866793,0.499163998,0.033599494,0.026816557,2025,this study,,
KNR195-5 MC12,MC,0,1,-3.7105,-81.1153,378,0.57,,,,,,,,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/
KNR195-5 MC16,MC,0,1,-3.7502,-81.1358,379,0.572,,,,,,,,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/
KNR195-5 MC18,MC,4,6,-3.969,-81.31,1024,0.599446802,0.282415155,0.062783799,0.052368999,0.010725396,0.560842121,0.03086453,0.033433999,2025,this study,,
KNR195-5 MC22,MC,0,1,-3.8503,-81.25,689,0.567,,,,,,,,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/
KNR195-5 MC25,MC,5,7,-3.583,-81.165,381,0.617191577,0.292011378,0.064581435,0.060659525,0.013756194,0.539284302,0.029707167,0.029310252,2025,this study,,
KNR195-5 MC33,MC,3,5,-3.2237,-82.9142,2949,0.605147278,0.30927021,0.069123602,0.059718388,0.00869436,0.515668055,0.037525385,0.035502457,2025,this study,,
KNR195-5 MC34,MC,4,6,-3.5975,-83.9632,3224,0.588670023,0.344232594,0.076125124,0.068809566,0.008161829,0.470696713,0.031974174,0.032599689,2025,this study,,
KNR195-5 MC38,MC,0,1,-1.2657,-89.6993,597,0.567,,,,,,,,2011,Chazen2011,,https://repository.library.brown.edu/studio/item/bdr:11417/
KNR195-5 MC4,MC,4,6,-0.216,-89.504,1612,0.623206848,0.328431624,0.069246957,0.07035175,0.007158687,0.487788611,0.037022371,0.188620497,2025,this study,,
KNR195-5 MC42,MC,3,5,-1.253,-89.6855,615,0.630416208,0.297720977,0.073346752,0.072606442,0.010907081,0.503821316,0.041597433,0.032614874,2025,this study,,
KNR195-5 MC9,MC,5,7,-0.826,-87.9082,1563,0.613468173,0.313385037,0.07307093,0.071792069,0.006095506,0.497572497,0.038083961,0.032469552,2025,this study,,
64PE304-56,PC,0,1,-16.85,41.32,2652,0.686,0.256685729,0.068813559,0.08937023,0.012122106,0.523951803,0.049056574,0.1251,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002
64PE304-63,PC,0,1,-16.5887,40.3608,1695,0.689,0.234902666,0.07095497,0.091567971,0.016249911,0.537073889,0.049250592,0.1102,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002
64PE304-66,PC,0,1,-16.5342,40.05458,1103,0.691,0.189589377,0.063497985,0.080013618,0.01820983,0.605018446,0.043670744,0.0978,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002
64PE304-68,PC,0,1,-16.5029,40.0252,756,0.692,0.205340626,0.068953196,0.087240435,0.022420906,0.570673202,0.045371636,0.0933,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002
M75-1b MC7,MC,0,1,-17.27183333,43.15516667,455,0.715,0.171708781,0.06376583,0.088727922,0.022747637,0.604781212,0.048268617,0.0235,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002
M75-1b MC3,MC,0,1,-16.92366667,41.59883333,2768,0.687,0.238238459,0.067944047,0.089057989,0.012626997,0.544638798,0.04749371,0.1356,2012,Fallet2012,,http://dx.doi.org/10.1016/j.dsr.2011.10.002
